ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	nomenclaturalCode	status	code
https://id.biodiversity.org.au/name/fungi/60031150	species	Aecidium breyniae Syd. & P.Syd.		Aecidium	breyniae		Syd. & P.Syd.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031310	species	Aecidium calthae Grev.		Aecidium	calthae		Grev.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031151	species	Aecidium celmisiae Rodway		Aecidium	celmisiae		Rodway	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031152	species	Aecidium compositarum Mart.		Aecidium	compositarum		Mart.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031153	species	Aecidium cryptostemmatis W.L.Waterh.		Aecidium	cryptostemmatis		W.L.Waterh.	botanical	nom. inval.	botanical
https://id.biodiversity.org.au/name/fungi/60031155	species	Aecidium cymbonoti Thüm.		Aecidium	cymbonoti		Thüm.	botanical	nom. inval.	botanical
https://id.biodiversity.org.au/name/fungi/60031154	species	Aecidium cymbonoti Thüm. ex McAlpine		Aecidium	cymbonoti		Thüm. ex McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031409	species	Aecidium cystoseiroides Berk.		Aecidium	cystoseiroides		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031156	species	Aecidium deeringiae Cooke & Massee		Aecidium	deeringiae		Cooke & Massee	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031157	species	Aecidium disciforme McAlpine		Aecidium	disciforme		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031555	species	Aecidium disseminatum Berk.		Aecidium	disseminatum		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60032346	species	Aecidium dolichi Cooke		Aecidium	dolichi		Cooke	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031158	species	Aecidium eburneum McAlpine		Aecidium	eburneum		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031160	species	Aecidium elaeocarpi Racib.		Aecidium	elaeocarpi		Racib.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031266	species	Aecidium formosanum Syd. & P.Syd.		Aecidium	formosanum		Syd. & P.Syd.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031161	species	Aecidium fragiforme Ces.		Aecidium	fragiforme		Ces.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031162	species	Aecidium gaubae Petr.		Aecidium	gaubae		Petr.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031524	species	Aecidium goodeniacearum Berk.		Aecidium	goodeniacearum		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031373	species	Aecidium impatientis Schwein.		Aecidium	impatientis		Schwein.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031282	species	Aecidium lobeliae Thüm.		Aecidium	lobeliae		Thüm.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031301	species	Aecidium manilense Arthur & Cummins		Aecidium	manilense		Arthur & Cummins	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031283	species	Aecidium microstomum Berk.		Aecidium	microstomum		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031163	species	Aecidium monocystis Berk.		Aecidium	monocystis		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031164	species	Aecidium myopori G.Cunn.		Aecidium	myopori		G.Cunn.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031439	species	Aecidium nymphoidis DC.		Aecidium	nymphoidis		DC.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031165	species	Aecidium oleariae McAlpine		Aecidium	oleariae		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031166	species	Aecidium perkinsiae Henn.		Aecidium	perkinsiae		Henn.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031167	species	Aecidium plantaginis-variae McAlpine		Aecidium	plantaginis-variae		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031168	species	Aecidium platylobii McAlpine		Aecidium	platylobii		McAlpine	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031471	species	Aecidium plectroniae Cooke		Aecidium	plectroniae		Cooke	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031169	species	Aecidium rhytismoideum Berk.		Aecidium	rhytismoideum		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031170	species	Aecidium soleniiforme Berk.		Aecidium	soleniiforme		Berk.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031448	species	Aecidium stowardii Har.		Aecidium	stowardii		Har.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031543	species	Aecidium thelymitrae Racib.		Aecidium	thelymitrae		Racib.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60031172	species	Aecidium torquens McAlpine		Aecidium	torquens		McAlpine	botanical		botanical
